speed,acceleration,steering_angle,distance_ahead,lane_position,traffic_density,traffic_light,obstacle_detected,road_condition,weather,road_curvature,action
116.09,-2.6,9.76,140.08,LEFT,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
96.58,2.82,6.08,46.99,CENTER,LOW,NONE,NO,WET,CLEAR,RIGHT,MAINTAIN_SPEED
116.76,-0.88,6.92,10.67,LEFT,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,BRAKE
19.49,-2.1,-10.72,134.62,CENTER,HIGH,GREEN,NO,WET,RAIN,STRAIGHT,CHANGE_LANE_LEFT
102.37,0.56,8.83,3.46,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,BRAKE
100.26,2.42,-21.88,153.47,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
128.01,-2.83,-11.95,57.71,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
3.41,-0.95,-15.55,93.45,LEFT,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
54.27,-3.62,-17.2,192.46,RIGHT,MEDIUM,YELLOW,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
14.46,-0.85,10.92,42.07,CENTER,MEDIUM,YELLOW,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
87.61,-0.6,-13.31,84.33,LEFT,MEDIUM,GREEN,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
87.16,-3.44,8.26,6.52,RIGHT,MEDIUM,GREEN,YES,DRY,CLEAR,RIGHT,STOP
71.02,0.67,-10.57,105.09,CENTER,LOW,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
42.19,0.7,22.98,154.19,LEFT,HIGH,YELLOW,YES,DRY,CLEAR,RIGHT,TURN_RIGHT
47.57,2.33,5.0,103.98,CENTER,HIGH,YELLOW,YES,DRY,FOG,RIGHT,CHANGE_LANE_RIGHT
133.62,-0.3,3.72,64.55,CENTER,MEDIUM,GREEN,YES,WET,CLEAR,RIGHT,MAINTAIN_SPEED
18.41,4.31,-2.33,37.5,CENTER,HIGH,YELLOW,NO,WET,FOG,STRAIGHT,CHANGE_LANE_LEFT
2.09,3.52,1.18,136.18,LEFT,MEDIUM,GREEN,NO,DRY,RAIN,LEFT,ACCELERATE
19.66,-1.21,-4.26,98.74,CENTER,HIGH,GREEN,NO,DRY,CLEAR,LEFT,CHANGE_LANE_LEFT
21.05,0.57,32.73,120.02,RIGHT,HIGH,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
34.9,-0.41,-13.81,173.81,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
35.5,-2.74,23.88,22.85,LEFT,MEDIUM,RED,NO,DRY,CLEAR,RIGHT,BRAKE
